sts12,sts13,sts14,sts15,sts16,stsb,sick,avg,best-step,best-stsb
58.32814722709007,72.59920226634996,65.28123874068653,72.73579717407895,70.92078948632393,68.95034162201316,63.8264469899955,66.22415034309623,11750,72.27753299027587
59.93476531437985,70.298405050613,66.05695512872539,71.43610989654219,69.65774257407563,67.72938031690356,64.9092199924094,68.03133995880228,13750,74.70368876011139
61.92502067354895,75.55889063146175,69.0938552487099,74.38722470943404,72.08695208209906,71.31015212083886,63.78304832426906,69.25719222295496,6500,75.74790482900605
60.276082760466856,73.04739603747312,63.327673246025185,72.88445009128529,70.44746199463809,67.42431172883066,60.64687852735921,67.7505967662292,10000,72.69839189451132
60.09757743817315,73.88869699479002,67.32335391240466,72.32668361990424,71.3458229050305,69.18588952038306,65.3581515129273,67.4993259894885,8250,75.59192458994193
58.38506435400311,73.54923761239463,65.67148232523832,74.83031124674338,70.595759631734,67.64453890467254,63.41513655734788,67.8443514410759,7750,73.26766351311448
60.48359547905454,74.85210154651224,65.92624500130205,72.386806329428,72.04197789170955,68.62102606720458,64.22204562230952,68.06127983053828,11750,73.3105273899151
57.55474412608352,72.61991739717706,63.37896841044304,72.7042835940954,70.17617151242915,66.39101759909605,62.54424493831842,66.127711030379,4250,72.9431534276879
62.72861296819739,73.49324401514195,65.5817015403407,74.33673584743607,71.95205992140936,70.10865572062153,61.62816899170666,68.21896914715744,11500,75.54312572638977
62.02551771364919,74.66942324486743,67.44925762505335,74.26589843673645,72.6519595326963,69.37714834687237,64.61943707323118,69.41943054890335,4750,73.75076476277911
61.582235535010625,71.78825359430937,66.2718161523064,74.80032418877514,71.41869555759584,70.9746644050854,64.3229122094785,67.39570212245766,10000,74.8667337118252
58.62129085775226,71.86211155492417,64.62817476470697,72.0857615911672,69.44193904024564,68.6197209756588,62.98318136502491,67.30398191682895,10250,75.3760907344997
58.16870090674619,74.08831770783809,64.80795414399789,71.93607698937184,68.89402225863759,66.62786150838556,63.14507011105964,66.17003361083582,6750,72.91698985456317
60.60056098380397,72.36742604997055,66.14856734061664,73.64211283130113,71.9243929538929,69.6983029898977,63.793487669681575,69.05383860434718,11750,74.32981055636017
62.5678167382202,75.48124902611318,66.90470236339307,74.82263933068293,70.11198226353306,69.3936200740409,65.85665184432123,68.4517220615933,12000,74.44415667118923
59.72106152795389,73.81334833580213,64.12650584861642,74.00596856675745,71.96550619826328,69.21375192893962,64.11555811515743,66.98527022081313,10000,75.10080518622783
58.664316191437834,72.26475982064106,65.55476874328802,74.61947581447959,71.39823519343703,69.00813274527445,64.24008250318094,67.63913430071328,7500,75.8824865391182
60.53138678446367,73.31650852757771,65.53108206639712,70.75555046771733,70.4514272453418,68.68772833361402,62.24208020383881,67.16264697026335,7750,74.77264214441337
60.6692539299325,74.99902083859719,65.31375451032837,75.03486682240703,70.53425354607124,69.51137378851635,65.04774240066062,69.98028777843952,11000,75.96169762492688
62.92658522212806,72.84672785070573,65.57538369230124,73.52715793723519,70.10443103364004,70.6024384283068,63.222081393438195,68.14821053360649,8000,75.35904930915324
61.84666792619002,75.46329573025298,65.56928869694148,74.51155727780778,72.27202737852289,70.28100813038722,62.57083901909033,68.151085703428,6250,75.01066741432723
57.92958848630591,70.6976152131238,63.428117717340605,72.89964201557358,69.49957484006752,66.93283538493932,63.017564987697575,66.99869901434573,7000,73.79257855347458
60.629292413138444,73.02940860174321,67.82044595012435,74.8262400503634,72.85246841650937,68.60212222651693,63.33303785322234,69.30501788800434,10750,74.54485768831896
59.385186075182,73.77105527467242,65.23977309671048,72.09184098933098,71.25031943861113,68.61220494678955,63.41937724413759,67.57226016094475,10750,73.71913441827041
61.009314522965795,71.81030086681834,65.24886416025385,72.45564172720391,70.08176302706347,69.08628744720023,62.47009398555442,68.31011699784662,7750,73.99569408288698
60.99288520800176,71.34919896198048,61.64110856356185,71.77991757691956,69.34095160328242,69.03277213368891,62.9337041441886,66.21771223130837,7000,72.77872868754032
56.82648486006448,70.78793645266789,63.36869175755967,71.22627522947853,72.62644747856437,66.98296282637828,63.408773748369384,65.83687019612647,11000,73.32396998164879
62.707207953231176,75.64601614497587,66.73504353280266,76.22911096722892,72.28575460937734,71.75697087735244,64.48969592925711,68.54865040845168,7750,76.91295908977767
57.24107386796471,74.61703642369729,65.59290000630585,71.69113580609546,70.6718294658222,68.05589477884834,63.829140960372676,68.05396357738702,13750,72.76332903765991
60.93064130087082,76.28371341288397,66.55989713438446,73.27479523153563,72.66359496055007,68.62232799742134,64.08944028965088,68.07768630882885,7750,75.1154915680122
63.40596762469511,74.58078069703113,67.13787509216043,76.01591534127174,72.94579091616056,72.21950044927111,63.78441413667591,68.9187662530206,10000,76.22439612632267
62.189994955734775,73.41034388035828,66.54824646888348,73.30392422966706,71.72232401426547,69.65778211906351,65.08986158993179,69.6468838920065,11250,73.97353227369756
60.36451244664903,73.57284959336512,65.6029889179585,73.26138848006663,69.14423786250114,70.27721919507412,62.899855061207276,67.7275769634575,8250,75.6179663878982
61.308919003338175,73.3785827227951,65.29818445531973,73.74805691676036,71.67170610251937,68.47507769930303,60.554487279727056,67.32904586572718,5500,74.64629434083855
63.79432299711345,73.59441190598476,67.53015988772376,75.42844967167962,72.036655378352,71.67257410053581,63.58538294564262,68.08079688469887,11750,77.02914849024147
62.14705071652352,72.01406020664065,66.69985573545634,73.97715345379966,72.21844570485965,69.7161447435779,62.9608113694877,69.66388015262069,12750,73.02402233004676
61.845062626719105,74.48556158167658,63.72990078388785,72.46684165828881,70.57821907455146,68.34990285887359,62.29931307952093,66.80019494739982,7500,73.9370752836689
60.42834497773247,72.99681458070373,66.61352132452213,72.58454928674979,72.07445438129388,71.42762444060388,65.82297051724736,67.92006837666757,12000,75.75121625650401
62.804532843093114,74.04599416141556,66.45734028724179,75.5980558459114,71.06593669371519,71.72118187967718,63.00082067339941,67.98288601116033,9000,75.65030275388457
59.535840233808514,72.30520646969084,66.15849916188974,71.8958377291364,71.04533349886513,69.1785000089675,62.705003064014925,68.51919658804374,10500,74.0902464395272
59.22202577030586,73.96052618355222,62.53768171180819,70.52863886589977,69.74344457815383,69.91376746164394,60.899958076251615,65.94270492857434,3750,73.62006744914062
63.23570289679115,73.97706777779955,65.16498884601441,73.81334103090732,70.6571407651252,70.93721836597032,64.3651341582445,67.41209400295581,10500,74.88400618990724
64.05294240363244,73.55976320994033,66.6477547327667,72.36592693516934,71.35246741011488,68.26481344729586,62.40805054073329,68.28171444653937,3250,74.2742893061129
58.013924149353365,73.89770218283928,63.721499947411644,72.37268641296512,69.41157946975922,66.2606817777818,62.15088068396226,68.08386294307698,14000,71.37336996694306
61.37591183717046,72.18985576368141,66.66758806261087,72.06645139664494,71.13700308549578,69.44401334643614,61.760039635172475,67.19709824982414,4500,75.53146020823235
59.110339596119346,72.78494440553614,65.31237270943451,71.74895620264913,70.07997704522656,68.623339946832,63.20424808838459,66.21018225741659,11250,72.25233569329008
60.84266700101388,71.73261061971587,63.78316817918058,74.43952181399959,72.45349985679961,70.00614018159035,62.62483976672194,67.26351964863677,10500,74.19619823149438
59.59296170895638,75.29978722869055,68.34808464624506,72.54921118051385,73.51760543419365,67.6234958501972,65.05257449642947,67.85018943766661,8500,72.3812846319893
60.20794831984853,74.05919003296013,64.97291351154357,71.88174323338566,69.99467974011259,67.35261764659896,63.56277286328699,68.06485287912297,13000,73.90836908414474
62.266953772638004,70.68642654958924,64.70663004743666,72.08765686175563,68.78231661918393,70.49090682361079,64.97769594467394,68.23171156027111,8000,75.13048048516379
